"DATE_AND_TIME","TEMP_DEGC","PRESSURE_HPA","RAIN_MM","HUMIDITY_PERCENT","WIND_SPEED_MS","WIND_DIRECT_DEGREES","SWIN_WM2","SWOUT_WM2","LWIN_WM2","LWOUT_WM2","SM_TDT1_PERC","SM_TDT2_PERC"
"02-02-2016 04.00",2.9,946,0,70.3,12.2,256,-0.8,-0.1,311.3,324.7,77.4,69.3
"02-02-2016 05.00",2.7,946,0,72.6,12.2,255,-0.8,-0.1,311.5,324.3,77.9,69.3
"02-02-2016 06.00",2.6,946,0,74.4,12,255,-0.7,-0.1,312,324.1,78,69.2
"02-02-2016 07.00",2.6,946,0,77.6,11.6,259,-0.9,-0.1,314.2,324.4,78.2,69.1
"02-02-2016 08.00",2.3,946,0,83,10.7,262,-0.8,-0.3,315.1,324.1,78.2,69.1
"02-02-2016 09.00",2.2,946.5,0,84.7,9.6,259,4.8,0.7,314.8,324.1,78.3,69.3
"02-02-2016 10.00",2.3,947,0,85.7,9.3,260,18.4,3.4,315.7,324.8,78.1,69.2
"02-02-2016 11.00",2.6,947,0,83.6,9.5,263,38.9,7.5,315.3,326.5,78.2,69.2
"02-02-2016 12.00",2.8,948,0,82.9,9.5,268,73.2,14.3,314.3,328.1,78.1,69.1
"02-02-2016 13.00",2.6,948,0.1,85.5,10.2,276,39.4,7.1,317.3,326.9,78.2,69.2
"02-02-2016 14.00",2.9,949,0,81.7,9.6,276,92.8,19.6,313.7,328.7,78.3,69.1
"02-02-2016 15.00",3.3,949.5,0,78.5,9.8,279,127.7,27.9,309.8,331.2,77.8,69.1
"02-02-2016 16.00",2.4,950.5,0,88.5,8.3,283,98.9,26.3,293.7,326.8,77.9,69.1
"02-02-2016 17.00",2.1,951,0,81.2,8,289,7.6,2.1,300.6,322.6,78.1,69.2
"02-02-2016 18.00",1.8,951.5,0,84,9,286,-0.9,0.3,296.5,321,77.9,69.2
"02-02-2016 19.00",1.2,952,0,83.1,9.6,289,-1.4,0.2,278.5,317.8,78.2,69
"02-02-2016 20.00",0.5,952,0,78.5,8.1,283,-2.4,0.4,243,313.6,78.1,69.2
"02-02-2016 21.00",0.8,953,0,77.1,8.8,280,-1.5,0.3,272.2,315.4,78.4,69.3
"02-02-2016 22.00",0.5,953,0,80.2,8.3,281,-1,0.2,291.3,315.4,78,69.2
"02-02-2016 23.00",0.5,953.5,0,81,7.3,278,-1.1,0.2,287.5,315.2,78.2,69.3
