"Code","Name"
"920364","Carex digitata"
"920365","Carex dioica"
"920366","Carex distans"
"920367","Carex disticha"
"920368","Carex divisa"
"9204520","Carex divulsa"
"920406","Carex divulsa subsp.leersii"
"920370","Carex echinata"
"920371","Carex elata"
"920372","Carex elongata"
"920373","Carex ericetorum"
"920374","Carex extensa"
"920375","Carex filiformis"
"920376","Carex flacca"
"920378","Carex flava sens.str."
"920381","Carex hirta"
"920382","Carex hostiana"
"920383","Carex humilis"
"920384","Carex lachenalii"
"920385","Carex laevigata"
"920386","Carex lasiocarpa"
"920388","Carex limosa"
"920403","Carex magellanica"
"920389","Carex maritima"
"920390","Carex microglochin"
"920391","Carex montana"
"920398","Carex muricata"
"920393","Carex nigra"
"920394","Carex norvegica"
"920395","Carex ornithopoda"
"920396","Carex otrubae"
"920397","Carex ovalis"
"920399","Carex pallescens"
"920400","Carex panicea"
"920401","Carex paniculata"
"920402","Carex pauciflora"
"920404","Carex pendula"
"920405","Carex pilulifera"
"920407","Carex pseudocyperus"
"920408","Carex pulicaris"
"2000087","Carex pulicaris/serotina"
"920409","Carex punctata"
"920410","Carex rariflora"
"920411","Carex recta"
"920412","Carex remota"
"920413","Carex riparia"
"920414","Carex rostrata"
"920415","Carex rupestris"
"920417","Carex saxatilis"
"9204583","Carex seedling/sp"
"920357","Carex spicata"
"920420","Carex strigosa"
"920421","Carex sylvatica"
"920422","Carex trinervis"
"920423","Carex vaginata"
"920424","Carex vesicaria"
"9207117","Carex viridula"
"920387","Carex viridula subsp.brachyrrhyncha"
"920361","Carex viridula subsp.oedocarpa"
"9207118","Carex viridula subsp.viridula"
"920425","Carex vulpina"
"920427","Carlina vulgaris"
"920428","Carpinus betulus"
"920428","Carpinus betulus (g)"
"920428","Carpinus betulus (s)"
"920429","Carpobrotus edulis"
"920431","Carum verticillatum"
"920432","Castanea sativa"
"920432","Castanea sativa (g)"
"920432","Castanea sativa (s)"
"920433","Catabrosa aquatica"
"200001591","Catapodium [spp]"
"920434","Catapodium marinum"
"920435","Catapodium rigidum"
"820149","Catoscopium nigritum"
"200001611","Cedrus [spp]"
"9204785","Centaurea [spp]"
"920439","Centaurea calcitrapa"
"920440","Centaurea cyanus"
"920444","Centaurea nigra"
"920446","Centaurea scabiosa"
"9205486","Centaurium erythraea"
"920448","Centaurium erythraea capitatum"
"920449","Centaurium latifolium"
"920450","Centaurium littorale"
"920453","Centaurium pulchellum"
"920452","Centaurium scilloides"
"920454","Centaurium tenuiflorum"
"920455","Centranthus ruber"
"920457","Cephalanthera damasonium"
"920458","Cephalanthera longifolia"
"920459","Cephalanthera rubra"
"8101276","Cephalozia [spp]"
"810714","Cephalozia bicuspidata"
"810716","Cephalozia connivens"
"810721","Cephalozia lunulifolia"
"810720","Cephalozia macrostachya"
"8101277","Cephaloziella [spp]"
"810732","Cephaloziella divaricata"
"810727","Cephaloziella hampeana"
"9204524","Cerastium [spp]"
"920460","Cerastium alpinum"
"920465","Cerastium arcticum"
"920461","Cerastium arvense"
"920463","Cerastium brachypetalum"
"920464","Cerastium cerastoides"
"920462","Cerastium diffusum"
"920467","Cerastium fontanum"
"920466","Cerastium glomeratum"
"920465.09999999998","Cerastium nigrescens"
"920468","Cerastium pumilum"
"920469","Cerastium semidecandrum"
"920470","Cerastium tomentosum"
"920555","Ceratocapnos claviculata"
"200001046","Ceratodon [spp]"
"820151","Ceratodon purpureus"
"920471","Ceratophyllum demersum"
"920472","Ceratophyllum submersum"
"910473","Ceterach officinarum"
"5505959","Cetraria [spp]"
"5505299","Cetraria glauca"
"5505350","Cetraria hiascens/delisei"
"5502848","Cetraria islandica"
"5502851","Cetraria nivalis"
"5505251","Cetraria norvegica/platysma lacunosum"
"920474","Chaenorhinum minus"
"920476","Chaerophyllum temulum"
"200001612","Chamaecyparis [spp]"
"9202398","Chamaecyparis lawsoniana"
"920119","Chamaemelum nobile"
"920477","Chamerion angustifolium"
"720113","Chara [spp]"
"920480","Chelidonium majus"
"9204525","Chenopodium [spp]"
"920481","Chenopodium album agg."
"200001582","Chenopodium album/polyspermum"
"920484","Chenopodium bonus-henricus"
"920485","Chenopodium chenopodioides"
"920487","Chenopodium ficifolium"
"920488","Chenopodium glaucum"
"920490","Chenopodium hybridum"
"920491","Chenopodium murale"
"920493","Chenopodium polyspermum"
"920496","Chenopodium rubrum"
"920498","Chenopodium urbicum"
"920500","Chenopodium vulvaria"
"810986","Chiloscyphus polyanthos"
"810737","Chiloscyphus polyanthos var.pallescens"
"9204800","Chrysanthemum [spp]"
"920504","Chrysanthemum segetum"
"920505","Chrysosplenium alternifolium"
"920506","Chrysosplenium oppositifolium"
"920507","Cicendia filiformis"
"920508","Cicerbita alpina"
"9202381","Cicerbita macrophylla"
"920509","Cichorium intybus"
"920510","Cicuta virosa"
"820152","Cinclidium stygium"
"820153","Cinclidotus fontinaloides"
"200001613","Circaea [spp]"
"920511","Circaea alpina"
"920512","Circaea alpina x lutetiana (C. x intermedia)"
"920513","Circaea lutetiana"
"200001165","Cirriphyllum [spp]"
"820157","Cirriphyllum piliferum"
"9204807","Cirsium [spp]"
"920514","Cirsium acaule"
"920515","Cirsium arvense"
"920516","Cirsium dissectum"
"920517","Cirsium eriophorum"
"920518","Cirsium heterophyllum"
"920519","Cirsium oleraceum"
"920520","Cirsium palustre"
"920521","Cirsium tuberosum"
"920522","Cirsium vulgare"
"920523","Cladium mariscus"
"5505962","Cladonia [spp]"
"5502860","Cladonia arbuscula"
"5502861","Cladonia bacillaris"
"5502862","Cladonia bellidiflora"
"5502868","Cladonia cervicornis"
"5502870","Cladonia chlorophaea"
"5502871","Cladonia ciliata"
"5502873","Cladonia coccifera"
"5502874","Cladonia coniocraea"
"5502876","Cladonia cornuta"
"5502877","Cladonia crispata"
"5502881","Cladonia deformis"
"5502882","Cladonia digitata"
"5502883","Cladonia fimbriata"
"5502885","Cladonia floerkeana"
"5502886","Cladonia foliacea"
"5502888","Cladonia furcata"
"5502890","Cladonia glauca"
"5502891","Cladonia gracilis"
"5505304","Cladonia impexa"
"5505305","Cladonia leucophaea"
"5502896","Cladonia macilenta"
"5502897","Cladonia macrophylla"
"5502903","Cladonia ochrochlora"
"5505307","Cladonia papillaria"
"5502908","Cladonia pocillum"
"5502909","Cladonia polydactyla"
"5502910","Cladonia portentosa"
"5502912","Cladonia pyxidata"
"20000106","Cladonia pyxidata/coccifera"
"5502913","Cladonia ramulosa"
"5502914","Cladonia rangiferina"
"5502915","Cladonia rangiformis"
"5502919","Cladonia squamosa"
"5505253","Cladonia squamules/sp"
"5502925","Cladonia subcervicornis"
"5505285","Cladonia subrangiformis"
"5502926","Cladonia subulata"
"5505322","Cladonia tenuis"
"5502931","Cladonia uncialis"
"5505287","Cladonia verticillata"
"810739","Cladopodiella fluitans"
"920525","Claytonia perfoliata"
"920524","Claytonia sibirica"
"920528","Clematis vitalba"
"820158","Climacium dendroides"
"92012","Clinopodium acinos"
"920296","Clinopodium ascendens"
"920298","Clinopodium calamintha"
"920297","Clinopodium menthifolium"
"920530","Clinopodium vulgare"
"920532","Cochlearia anglica"
"920533","Cochlearia danica"
"920534","Cochlearia micacea"
"9202547","Cochlearia officinalis sens.lat."
"9205422","Cochlearia pyrenaica"
"9204812","Cochlearia seedling/sp"
"5502936","Coelocaulon aculeatum"
"920537","Coeloglossum viride"
"9205396","Coincya monensis"
"9201688","Coincya monensis subsp.recurvata"
"9201690","Coincya wrightii"
"920538","Colchicum autumnale"
"5505232","Collema [spp]"
"5502967","Collema tenax"
"920539","Colutea arborescens"
"920540","Conium maculatum"
"810745","Conocephalum conicum"
"920541","Conopodium majus"
"820159","Conostomum tetragonum"
"920622","Consolida ajacis"
"920543","Convallaria majalis"
"920544","Convolvulus arvensis"
"920735","Conyza canadensis"
"920545","Corallorhiza trifida"
"5505290","Cornicularia aculeata"
"5505292","Cornicularia muricata"
"9204826","Cornus [spp]"
"9205423","Cornus mas"
"920548","Cornus sanguinea"
"920548","Cornus sanguinea (g)"
"920549","Cornus sericea"
"920478","Cornus suecica"
"9204828","Coronopus [spp]"
"920551","Coronopus didymus"
"920552","Coronopus squamatus"
"920553","Corrigiola litoralis"
"9204392","Cortaderia selloana"
"9204831","Corydalis [spp]"
"920557","Corylus avellana"
"920557","Corylus avellana (c)"
"920557","Corylus avellana (g)"
"920558","Corynephorus canescens"
"9204526","Cotoneaster [spp]"
"920560","Cotoneaster horizontalis sens.str."
"920561","Cotoneaster integerrimus"
"920562","Cotoneaster integrifolius"
"920563","Cotoneaster simonsii"
"920565","Crambe maritima"
"920566","Crassula aquatica"
"9202423","Crassula helmsii"
"920567","Crassula tillaea"
"9204837","Crataegus [spp]"
"920570","Crataegus laevigata"
"920568","Crataegus laevigata x monogyna (C. x macrocarpa)"
"920569","Crataegus monogyna"
"920569","Crataegus monogyna (c)"
"920569","Crataegus monogyna (g)"
"8201121","Cratoneuron [spp]"
"820161","Cratoneuron commutatum"
"820163","Cratoneuron filicinum"
"9204527","Crepis [spp]"
"920571","Crepis biennis"
"920572","Crepis capillaris"
"920573","Crepis foetida"
"920574","Crepis mollis"
"920576","Crepis paludosa"
"9204518","Crepis praemorsa"
"920578","Crepis vesicaria"
"920579","Crithmum maritimum"
"200001614","Crocosmia [spp]"
"920580","Crocosmia x crocosmiiflora (C. aurea x pottsii)"
"920875","Cruciata laevipes"
"910586","Cryptogramma crispa"
"820166","Ctenidium molluscum"
"9204366","Cultivated bean"
"9205475","Cultivated carrot"
"200001173","Cultivated flowers"
"9204842","Cupressus [spp]"
"920589","Cuscuta epithymum"
"920590","Cuscuta europaea"
"920592","Cymbalaria muralis"
"920595","Cynoglossum germanicum"
"920596","Cynoglossum officinale"
"920597","Cynosurus cristatus"
"920598","Cynosurus echinatus"
"920599","Cyperus fuscus"
"920600","Cyperus longus"
"920601","Cypripedium calceolus"
"910602","Cystopteris dickieana"
"910603","Cystopteris fragilis"
"910604","Cystopteris montana"
"9201822","Cytisus scoparius"
"9201822","Cytisus scoparius (g)"
"9201822.0999999996","Cytisus scoparius subsp.maritimus"
"920605","Daboecia cantabrica"
"920607","Dactylis glomerata"
"9204528","Dactylorhiza [spp]"
"920608","Dactylorhiza fuchsii"
"9204528","Dactylorhiza hybrids"
"920609","Dactylorhiza incarnata"
"9202964","Dactylorhiza lapponica"
"920610","Dactylorhiza maculata"
"920611","Dactylorhiza majalis"
"920612","Dactylorhiza majalis praetermissa"
"9202877","Dactylorhiza majalis x purpurella"
"920613","Dactylorhiza purpurella"
"920614","Dactylorhiza traunsteineri"
"920615","Damasonium alisma"
"9201915","Danthonia decumbens"
"920617","Daphne laureola"
"920617","Daphne laureola"
"920618","Daphne mezereum"
"200001615","Daucus [spp]"
"9205474","Daucus carota"
"920620","Daucus carota subsp.carota"
"9204819","Delphinium [spp]"
"5505227","Dermatocarpon lachnaeum"
"5505112","Dermatocarpon miniatum"
"920627","Deschampsia cespitosa"
"920628","Deschampsia flexuosa"
"920629","Deschampsia setacea"
"920630","Descurainia sophia"
"920631","Dianthus armeria"
"920635","Dianthus deltoides"
"920637","Dianthus gratianopolitanus"
"920639","Diapensia lapponica"
"820180","Dichodontium pellucidum sens.lat."
"20000868","Dicranella [spp]"
"820184","Dicranella heteromalla"
"820187","Dicranella palustris"
"820186","Dicranella schreberana"
"820674","Dicranella staphylina"
"820189","Dicranella varia"
"820191","Dicranodontium denudatum"
"820192","Dicranodontium uncinatum"
"820193","Dicranoweisia cirrata"
"8201132","Dicranum [spp]"
"820197","Dicranum bonjeanii"
"820201","Dicranum fuscescens"
"820203","Dicranum majus"
"820206","Dicranum scoparium"
"820207","Dicranum scottianum"
"920640","Digitalis purpurea"
"920641","Digitaria ischaemum"
"920642","Digitaria sanguinalis"
"9101213","Diphasiastrum alpinum"
"9102277","Diphasiastrum complanatum"
"810747","Diplophyllum albicans"
"5501444","Diploschistes scruposus"
"9204868","Diplotaxis [spp]"
"920644","Diplotaxis muralis"
"920645","Diplotaxis tenuifolia"
"920646.09999999998","Dipsacus fullonum"
"920647","Dipsacus pilosus"
"820213","Distichium capillaceum"
"8201137","Ditrichum [spp]"
"820215","Ditrichum cylindricum"
"820216","Ditrichum flexicaule sens.lat."
"9204872","Doronicum [spp]"
"920648","Doronicum pardalianches"
"810750","Douinia ovata"
"9204873","Draba [spp]"
"920650","Draba aizoides"
"920651","Draba incana"
"920652","Draba muralis"
"920653","Draba norvegica"
"8201138","Drepanocladus [spp]"
"820222","Drepanocladus aduncus"
"820223","Drepanocladus exannulatus"
"820224","Drepanocladus fluitans"
"820225","Drepanocladus lycopodioides"
"820226","Drepanocladus revolvens"
"820226","Drepanocladus revolvens var. revolvens"
"820227","Drepanocladus sendtneri"
"820228","Drepanocladus uncinatus"
"820229","Drepanocladus vernicosus"
"920655","Drosera intermedia"
"920654","Drosera longifolia"
"920657","Drosera rotundifolia"
"920658","Dryas octopetala"
"9104634","Dryopteris [spp]"
"910660","Dryopteris aemula"
"910662","Dryopteris affinis"
"910666","Dryopteris carthusiana"
"910663","Dryopteris cristata"
"910661","Dryopteris dilatata"
"9104634","Dryopteris dilatata x filix-mas"
"200001583","Dryopteris dilatata/carthusiana"
"9102274","Dryopteris expansa"
"910665","Dryopteris filix-mas"
"910659","Dryopteris oreades"
"9102499","Dryopteris remota"
