FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1865-04,23.87,16.05,32.99,0.00,15.54,10.12,67.10,40.51,26.09,59.16,15.20,41.61,100.42,9.04,23.79,16.88,39.17,44.20,27.82,66.77,0.00,11.54,32.78,22.98,57.66,15.78,24.56,20.13,24.37,42.05,21.49,36.27,19.60,27.54,16.53,27.00,25.74
1865-05,96.06,73.83,102.70,60.63,70.10,49.23,198.54,99.86,109.02,126.87,46.11,41.79,333.19,80.87,98.07,92.51,179.22,141.23,85.35,79.76,59.18,72.00,143.76,64.06,86.45,45.92,90.81,65.35,64.57,141.00,59.52,124.80,53.99,122.97,43.61,88.60,101.28
1865-06,24.75,61.41,50.05,43.12,55.97,35.35,17.74,42.56,59.63,46.02,48.85,21.32,32.01,41.87,41.37,11.84,20.64,12.35,10.60,0.00,41.76,42.34,17.53,80.93,26.42,46.26,53.91,60.78,71.64,18.99,43.95,65.41,50.31,17.12,44.33,51.74,49.89
1865-07,60.10,65.89,92.33,150.91,66.26,91.67,117.48,75.72,71.52,132.27,134.73,70.02,168.08,59.56,67.85,52.55,85.44,80.27,44.64,91.77,158.39,86.48,64.32,123.83,84.34,91.83,62.53,104.56,101.08,72.93,94.25,115.44,66.81,55.30,93.63,69.33,92.48
1865-08,94.09,117.71,145.41,110.48,103.93,82.91,224.23,99.77,121.66,165.70,121.13,116.71,313.28,116.61,90.40,91.63,245.43,130.93,65.36,107.61,108.53,174.23,190.68,135.11,130.16,90.26,94.93,130.61,162.56,141.47,96.86,149.49,121.12,105.90,88.36,111.30,186.41
1865-09,21.64,10.76,23.19,8.30,7.96,1.20,71.22,11.06,3.73,25.23,10.59,5.34,174.18,13.32,9.18,25.54,59.02,27.61,12.93,0.00,9.57,6.07,41.69,5.26,17.44,5.15,8.14,2.73,5.20,65.53,8.71,6.66,4.01,53.49,5.94,2.58,12.14
1865-10,106.35,167.88,198.53,257.64,166.95,187.35,234.30,180.87,152.88,243.36,182.60,108.49,256.10,163.48,105.34,90.35,184.80,213.74,128.69,153.71,254.94,249.31,152.82,265.03,231.13,115.68,137.46,220.72,246.12,129.75,177.82,171.38,178.55,101.63,120.47,121.16,288.54
1865-11,79.87,67.84,137.77,43.50,71.61,43.71,169.01,91.78,84.69,130.91,61.18,55.50,301.58,44.59,69.92,69.71,182.60,120.10,56.17,158.91,45.11,120.74,139.76,126.47,112.27,45.05,67.19,122.31,143.09,134.95,60.01,107.20,97.12,94.74,46.73,69.78,167.23
1865-12,31.81,44.45,74.95,33.47,48.52,16.81,114.19,31.15,41.34,36.59,39.61,25.09,252.16,32.74,29.05,45.74,64.13,83.99,35.95,96.72,38.04,85.67,46.41,109.77,55.51,25.52,28.59,86.05,101.42,88.10,31.26,48.96,70.44,68.40,29.99,33.04,129.74
1866-01,88.95,98.58,116.38,63.78,98.58,55.59,287.96,89.21,93.45,154.30,56.41,38.34,579.19,81.82,59.13,110.11,313.41,185.21,49.49,134.46,63.98,140.65,241.00,162.39,64.73,41.50,51.42,129.32,180.12,212.10,36.65,104.49,134.34,150.95,42.25,64.23,194.70
1866-02,73.60,90.34,97.52,102.35,95.77,74.60,171.41,104.47,94.67,145.71,75.36,61.78,421.23,89.57,55.96,73.68,247.98,157.43,51.03,110.67,103.04,158.17,207.23,133.31,78.24,56.32,47.96,118.91,162.37,151.57,67.68,96.14,116.31,115.50,61.41,64.83,155.68
1866-03,54.26,46.73,72.99,38.14,48.15,28.92,77.62,68.41,71.12,98.23,33.22,29.36,296.21,43.31,47.31,52.28,121.49,97.53,57.38,112.91,38.39,68.37,81.50,62.89,85.32,27.08,45.12,55.20,75.96,109.15,38.10,65.63,55.72,90.31,28.41,48.09,133.38
1866-04,23.49,50.70,33.48,48.19,50.26,41.46,104.71,32.06,38.01,30.35,54.57,30.44,141.42,50.23,20.04,35.65,52.64,95.47,51.58,76.93,46.68,55.06,43.51,70.02,75.36,40.89,17.30,44.90,76.44,36.33,44.86,35.61,60.96,25.90,40.69,32.13,61.41
1866-05,34.52,43.40,25.82,45.39,40.75,39.39,64.94,46.97,26.09,63.51,48.02,14.45,112.55,49.20,22.19,26.76,58.03,49.00,29.60,88.37,44.13,21.20,47.41,39.14,32.72,39.43,39.44,37.74,40.07,42.27,39.89,40.83,35.15,35.72,39.13,30.63,64.82
1866-06,94.24,76.34,59.77,71.10,77.22,81.64,93.78,108.49,113.57,159.92,73.13,46.68,160.67,93.38,82.56,45.45,131.82,57.06,32.37,51.03,65.50,74.13,96.83,76.57,50.13,52.33,92.38,45.68,71.31,101.03,62.62,131.50,67.53,79.26,54.76,83.38,35.17
1866-07,86.66,53.18,60.35,60.52,54.17,57.02,206.09,85.85,55.73,176.96,86.13,106.27,264.23,48.62,55.04,91.08,171.62,130.28,69.27,47.52,61.69,67.42,119.95,61.32,140.08,64.48,41.73,26.95,46.20,131.90,77.31,72.05,39.23,93.66,65.57,47.61,27.03
1866-08,103.38,71.06,94.39,16.76,55.68,70.12,167.07,147.00,77.09,220.39,85.08,67.59,314.75,66.13,92.30,104.09,199.36,124.95,54.37,141.73,14.01,64.90,148.43,74.84,74.56,78.73,95.67,76.68,83.66,149.66,72.40,137.23,65.85,110.00,75.21,81.76,76.52
1866-09,156.42,130.71,142.53,62.25,117.14,62.12,304.10,175.89,195.89,299.98,78.32,95.13,508.53,98.58,126.40,136.69,388.05,167.95,70.18,164.71,64.82,158.59,287.41,183.55,134.65,73.62,172.51,170.65,183.82,227.19,86.47,209.20,129.47,187.30,76.39,141.77,198.31
1866-10,56.01,60.82,50.31,10.25,56.19,32.36,91.71,97.64,80.19,121.67,35.45,43.04,207.89,49.05,78.84,48.76,128.10,61.39,29.45,63.67,5.87,50.87,100.60,90.62,68.22,40.55,72.88,34.28,50.90,81.02,42.43,72.01,42.51,63.40,41.64,59.66,49.77
1866-11,112.07,44.28,93.95,79.79,39.41,57.85,189.72,143.32,47.32,244.92,79.00,65.14,492.47,47.47,60.73,96.18,269.86,138.73,47.76,86.39,84.07,58.35,201.01,61.28,100.29,42.07,57.62,41.79,55.57,211.68,71.52,80.92,45.15,147.26,44.83,44.20,47.53
1866-12,74.76,61.48,114.11,62.56,54.98,58.30,234.51,104.44,51.99,181.03,67.37,42.67,558.65,65.06,45.69,96.16,285.01,152.31,53.99,135.49,69.13,76.21,223.02,95.67,93.63,44.87,45.99,48.61,76.96,194.96,63.12,60.24,63.76,146.24,50.54,44.51,91.03
1867-01,81.68,78.30,126.52,100.11,74.17,64.58,138.05,128.40,117.34,183.67,93.73,56.70,341.71,71.81,69.48,62.44,219.57,127.47,58.03,156.86,100.84,88.49,171.58,142.40,148.21,58.77,78.20,126.30,124.09,144.58,91.85,106.56,89.09,95.96,61.34,96.51,239.44
1867-02,68.59,42.32,80.98,22.75,44.18,40.80,160.36,88.39,66.89,132.22,28.24,28.10,382.24,38.00,47.74,49.88,204.82,75.98,19.07,144.46,21.51,59.66,172.64,66.20,20.55,28.93,46.02,52.65,67.62,115.41,22.85,67.64,53.33,92.21,31.39,50.30,121.96
1867-03,42.40,69.04,70.89,34.33,63.03,39.48,85.84,77.99,115.99,86.35,47.07,33.65,189.18,59.34,72.77,38.13,102.09,75.32,36.45,142.85,32.40,89.12,78.59,91.15,79.25,52.09,78.58,70.72,87.25,63.25,47.26,106.38,62.96,52.93,51.98,92.07,248.90
1867-04,98.86,62.77,85.26,55.59,60.17,70.99,251.23,134.92,75.09,210.15,74.38,83.93,408.18,61.20,76.38,84.36,205.13,140.07,55.08,99.98,53.33,44.55,173.67,62.20,72.83,52.18,72.69,43.35,74.18,125.76,66.42,110.98,69.27,93.62,57.14,65.03,113.83
1867-05,40.70,62.63,64.16,64.97,54.91,68.63,90.87,62.45,67.60,83.22,90.49,41.13,125.08,61.45,72.51,49.49,73.64,83.52,57.92,138.13,63.47,42.29,59.55,49.55,62.21,69.77,68.67,37.06,45.18,51.88,71.65,89.23,38.46,43.93,70.27,58.33,148.81
1867-06,29.24,41.73,22.72,15.94,41.87,25.83,80.32,56.61,34.48,72.29,35.26,40.72,116.68,31.26,39.47,42.20,64.44,45.94,32.81,43.28,12.73,38.67,49.04,48.39,66.30,33.90,45.65,30.79,53.38,42.30,40.04,46.85,43.90,31.68,34.16,35.29,40.53
