VEG_SPEC,DESC_LATIN,DESC_ABBR,ALTERNAME,VERSION_DATE,BRC_CONCEPT,BRC_NAME,GROWTH_STAGE
5322,Porina mammillosa,,,36587,,,
5208,Opegrapha rufescens,,,36587,,,
5233,Pertusaria coronata,,,36587,,,
5236,Pertusaria dealbescens,,,36587,,,
5239,Pertusaria flavicans,,,36587,,,
5242,Pertusaria gallica,,,36587,,,
5248,Pertusaria lactescens,,,36587,,,
5251,Pertusaria multipuncta,,,36587,,,
5254,Pertusaria panyrga,,,36587,,,
5257,Pertusaria pupillaris,,,36587,,,
5263,Phaeocalicium praecedens,,,36587,,,
5150,Micrarea pseudomarginata,,,36587,,,
5174,Mycoglaena myricae,,,36587,,,
5177,Mycomicrothelia wallrothii,,,36587,,,
5180,Normandina pulchella,,,36587,,,
5186,Omphalina pararustica,,,36587,,,
5189,Opegrapha areniseda,,,36587,,,
5192,Opegrapha cesareensis,,,36587,,,
5195,Opegrapha fumosa,,,36587,,,
5200,Opegrapha multipunctata,,,36587,,,
5204,Opegrapha paraxanthodes,,,36587,,,
5207,Opegrapha pulvinata,,,36587,,,
5114,Melaspilea ochrothalamia,,,36587,,,
5118,Micrarea adnata,,,36587,,,
5120,Micrarea nitschkeana,,,36587,,,
5123,Micrarea misella,,,36587,,,
5125,Micrarea olivacea,,,36587,,,
5128,Micrarea melaena,,,36587,,,
5130,Micrarea peliocarpa,,,36587,,,
5133,Micrarea leprosula,,,36587,,,
5136,Micrarea pycnidiophora,,,36587,,,
5139,Micrarea subviolascens,,,36587,,,
5142,Micrarea turfosa,,,36587,,,
5145,Micrarea sylvicola,,,36587,,,
5147,Micrarea excipulata,,,36587,,,
5051,Lecidella anomaloides,,,36587,,,
5054,Lecidella elaeochroma,,,36587,,,
5057,Lecidella scabra,,,36587,,,
5059,Lecidella subincongrua,,,36587,,,
5062,Lecidoma demissum,,,36587,,,
5068,Lempholemma chalazanum,,,36587,,,
5071,Lepraria eburnea,,,36587,,,
5073,Lepraria lesdainii,,,36587,,,
5076,Lepraria nivalis,,,36587,,,
5082,Leproplaca xantholyta,,,36587,,,
5085,Leptogium diffractum,,,36587,,,
5088,Leptogium massiliense,,,36587,,,
4990,Lecanora strobilina,,,36587,,,
4993,Lecanora subintricata,,,36587,,,
4999,Lecanora varia,,,36587,,,
5001,Lecidea ahlesii,,,36587,,,
5003,Lecidea associata,,,36587,,,
5006,Lecidea diducens,,,36587,,,
5011,Lecidea carrollii,,,36587,,,
5014,Lecidea doliiformis,,,36587,,,
5017,Lecidea erythrophaea,,,36587,,,
5020,Lecidea paupercula,,,36587,,,
5022,Lecidea hypopta,,,36587,,,
5025,Lecidea inops,,,36587,,,
5027,Lecidea insidiosa,,,36587,,,
4926,Lecania rabenhorstii,,,36587,,,
4929,Lecanora achariana,,,36587,,,
4932,Lecanora aitema,,,36587,,,
4934,Lecanora alboflavida,,,36587,,,
4937,Lecanora atrosulphurea,,,36587,,,
4940,Lecanora campestris,,,36587,,,
4943,Lecanora chlarotera,,,36587,,,
4946,Lecanora conferta,,,36587,,,
4948,Lecanora congesta,,,36587,,,
4951,Lecanora dispersa,,,36587,,,
4954,Lecanora expallens,,,36587,,,
4956,Lecanora frustulosa,,,36587,,,
4959,Lecanora gangaleoides,,,36587,,,
4865,Gyalidea lecideopsis,,,36587,,,
4868,Gyalideopsis anastomosans,,,36587,,,
4871,Haematomma caesium,,,36587,,,
4874,Haematomma ochroleucum,,,36587,,,
4880,Herteliana taylorii,,,36587,,,
4883,Heterodermia propagulifera,,,36587,,,
4886,Hypocenomyce anthracophila,,,36587,,,
4890,Hypocenomyce xanthococca,,,36587,,,
4896,Ionaspis odora,,,36587,,,
4898,Julella sericea,,,36587,,,
4900,Lecanactis abietina,,,36587,,,
4808,Diplotomma epipolium,,,36587,,,
4814,Endocarpon pusillum,,,36587,,,
4817,Enterographia hutchinsiae,,,36587,,,
4820,Eopyrenula leucoplaca,,,36587,,,
4823,Ephebe hispidula,,,36587,,,
4826,Epigloea soleiformis,,,36587,,,
4829,Euopsis pulvinata,,,36587,,,
4831,Fellhanera bouteillei,,,36587,,,
4834,Fuscidea arboricola,,,36587,,,
4837,Fuscidea gothoburgensis,,,36587,,,
4840,Fuscidea kochiana,,,36587,,,
4751,Chaenotheca trichialis,,,36587,,,
4754,Chaenothecopsis debilis,,,36587,,,
4757,Chaenothecopsis parasitaster,,,36587,,,
4761,Chaenothecopsis vainioana,,,36587,,,
4764,Chiodecton myrticola,,,36587,,,
4767,Chrysothrix candelaris,,,36587,,,
4770,Claurouxia chalybeioides,,,36587,,,
4773,Clauzadea monticola,,,36587,,,
4776,Cliostomum corrugatum,,,36587,,,
4779,Collema dichotomum,,,36587,,,
4782,Collema fragrans,,,36587,,,
4693,Caloplaca ruderum,,,36587,,,
