wrong_name,right_name
Trifolium Campestre,Trifolium campestre
Trifolium ornithopodoides,Trifolium ornithopodioides
Trifolium seedling,Trifolium seedling/sp
Trifolium sp,
Tripleurospermum maritimum,Tripleurospermum maritimum/inodorum
Ulex minonr,Ulex minor
Ulex seedling,Ulex [spp]
Unidentified,
unidentified,
Usnea sp.,Usnea [spp]
Vaccinium myrtilis,Vaccinium myrtillus
vaccinium myrtillus,Vaccinium myrtillus
Vaccinium myrtillus (dead),Vaccinium myrtillus
Veronica,Veronica seedling/sp
Veronica chamaedryas,Veronica chamaedrys
Veronica seedling,Veronica seedling/sp
Veronica serpyllifolia sl.,Veronica serpyllifolia
Veronica serpyllifolia subsp. serpyllifolia,Veronica serpyllifolia
Veronica sp.,Veronica seedling/sp
Vicia sativa subsp. nigra,Vicia sativa subsp.nigra
Vicia seedling,Vicia seedling/sp
Viola,Viola seedling/sp
Viola sepium,Vicia sepium
Viola sp.,Viola seedling/sp
Viola tricolor subsp. curtisii,Viola tricolor subsp.curtisii
Weissia,Weissia [spp]
X Festulolium loliaceum,Festuca pratensis x Lolium perenne (x Festulolium loli
ulex europaeus (g),Ulex europaeus (g)
Ulex species (g),Ulex [spp]
Crataegus monogyna (s),
Solanum dulcamara (g),
Ilex aquifolium (s),
Ulex europaeus (s),
Thymus praecox,
Quercus cerris (c),
Pinus sylvestris (s),
Prunus spinosa (s),
Rosa canina s.str. (g),
Crataegus monogyna (s.),
Betula pendula (s),
Betula pubescens (s),
Cornus sanguinea (s.),
Fagus sylvatica (s),
Sorbus aucuparia (s),
Salix cinerea (s),
Alnus glutinosa (c) (g),
Quercus robur (s),
Salix cinerea (c) (g) (s),
Fraxinus excelsior (c) (g) (s),
Picea sitchensis (g),
Lonicera periclymenum (s),
Corylus avellana (s),
Sambucus nigra (s),
Ligustrum vulgare (s),
Vicia sp.,
Acer pseudoplatanus (s),
Pinus nigra (s),
Acer campestre (s),
Fraxinus excelsior,
Salix caprea (s),
Rosa canina,
Cornus sanguinea (s),
Ulmus procera,
Taxus baccata (s.),
Acer platanoides (g),
Viburnum opulus,
Hedera helix (s),
Euonymus europaeus (s),
Populus tremula (c),
Acer pseudoplatanus (s.),
Ligustrum vulgare (s.),
lonicera periclymenum (s),
Quercus cerris (s),
Rubus fruticosus agg. (s),Rubus fruticosus agg.
Sorbus torminalis (g),Sorbus torminalis
Pseudotsuga menziesii (s),Pseudotsuga menziesii
Quercus x rosacea (g),Quercus seedling/sp
Elymus repens,Elymus [spp]
Quercus x rosacea (s),Quercus seedling/sp
Quercus x rosacea (c),Quercus seedling/sp
Fraxinus exelsior,
